Stable_Feature_Key,Canonical_Field_Key__c,Ingredient_Role__c,Sequence__c,Transform__c,Is_Time_Field__c,Is_Grouping_Field__c,Is_Filter_Field__c,Is_Cohort_Dimension__c,Is_Benchmark_Feature__c
PROFILE:ACCOUNT_TYPE:RAW,salesforce:Account:Source_Account_Type__c,PROFILE_SOURCE,1,Account.Source_Account_Type__c,False,True,True,True,False
PROFILE:COMPANY_EMPLOYEES:BAND,salesforce:Account:NumberOfEmployees,PROFILE_SOURCE,1,BUCKET(Account.NumberOfEmployees),False,True,True,True,False
PROFILE:COMPANY_EMPLOYEES:RAW,salesforce:Account:NumberOfEmployees,PROFILE_SOURCE,1,Account.NumberOfEmployees,False,True,True,True,False
PROFILE:COMPANY_REVENUE:BAND,salesforce:Account:AnnualRevenue,PROFILE_SOURCE,1,BUCKET(Account.AnnualRevenue),False,True,True,True,False
PROFILE:COMPANY_REVENUE:RAW,salesforce:Account:AnnualRevenue,PROFILE_SOURCE,1,Account.AnnualRevenue,False,True,True,True,False
PROFILE:CUSTOMER_SEGMENT:RAW,salesforce:Account:Customer_Segment__c,PROFILE_SOURCE,1,Account.Customer_Segment__c,False,True,True,True,False
PROFILE:CUSTOMER_TENURE:BAND,salesforce:Account:Customer_Since_Date__c,DATE,1,"BUCKET(DATEDIFF(TODAY(),Account.Customer_Since_Date__c))",True,True,True,True,False
PROFILE:CUSTOMER_TENURE:RAW,salesforce:Account:Customer_Since_Date__c,PROFILE_SOURCE,1,Account.Customer_Since_Date__c,False,True,True,True,False
PROFILE:CUSTOMER_TENURE:YEARS,salesforce:Account:Customer_Since_Date__c,DATE,1,"DATEDIFF(TODAY(),Account.Customer_Since_Date__c)",True,True,True,True,False
PROFILE:GEOGRAPHY_COUNTRY:RAW,salesforce:Account:BillingCountry,PROFILE_SOURCE,1,Account.BillingCountry,False,True,True,True,False
PROFILE:GEOGRAPHY_REGION:RAW,salesforce:Account:Region__c,PROFILE_SOURCE,1,Account.Region__c,False,True,True,True,False
PROFILE:GEOGRAPHY_STATE:RAW,salesforce:Account:BillingState,PROFILE_SOURCE,1,Account.BillingState,False,True,True,True,False
PROFILE:INDUSTRY:RAW,salesforce:Account:Source_Industry__c,PROFILE_SOURCE,1,Account.Source_Industry__c,False,True,True,True,False
PROFILE:PRODUCT_BREADTH:RAW,salesforce:Account:Product_Family_Number__c,PROFILE_SOURCE,1,Account.Product_Family_Number__c,False,True,True,True,False
PROFILE:PRODUCT_FAMILY:RAW,salesforce:Account:Product_Family_List__c,PROFILE_SOURCE,1,Account.Product_Family_List__c,False,True,True,True,False
PROFILE:RENEWAL_TIMING:DAYS,salesforce:Account:Renewal_Date__c,DATE,1,"DATEDIFF(TODAY(),Account.Renewal_Date__c)",True,True,True,True,False
PROFILE:RENEWAL_TIMING:QUARTER,salesforce:Account:Renewal_Date__c,DATE,1,FISCAL_QUARTER(Account.Renewal_Date__c),True,True,True,True,False
PROFILE:RENEWAL_TIMING:RAW,salesforce:Account:Renewal_Date__c,PROFILE_SOURCE,1,Account.Renewal_Date__c,False,True,True,True,False
PROFILE:SOURCE_ACV:BAND,salesforce:Account:Source_ACV__c,PROFILE_SOURCE,1,BUCKET(Account.Source_ACV__c),False,True,True,True,False
PROFILE:SOURCE_ACV:RAW,salesforce:Account:Source_ACV__c,PROFILE_SOURCE,1,Account.Source_ACV__c,False,True,True,True,False
PROFILE:SUPPORT_TIER:RAW,salesforce:Account:Account_Support_Level__c,PROFILE_SOURCE,1,Account.Account_Support_Level__c,False,True,True,True,False
